,,,,,,,,,,,,,
,Geometry,,,,,,,,,,,,
,Question description,Question,Solution,Score and Description,Sample Responses,Incorrect answer - Student Response,Grade,Year,Block,Type,Difficulty,Percentage,Item Performance
,Determine the shortest path between two points,,,"Correct:

Three correct selections and no incorrect selections",No student responses are available for this question.,"Incorrect:

Incorrect response",8,2022,8M1,SR (Selected Response),Easy,"Correct: 73%
Incorrect: 27%
Omitted: 1%
Off task: rounds to zero",
,,,,,,,,,,,,,
,Decompose a composite shape in more than one way,,,"Correct:

Two pairs of shapes correctly placed

Partial:

One pair of shapes correctly placed",No student responses are available for this question.,"Incorrect:

Incorrect response",8,2022,8M1,SR (Selected Response),Hard,"Correct: 21%
Incorrect: 53%
Partial: 25%
Omitted: 1%
Off task: rounds to zero",
,,,,,,,,,,,,,
,Identify points that complete a parallelogram in the coordinate plane,,"Sample Correct Response:

Correct selections:

B. (–3, 3)

E. (5, –1)

F. (5, 5)","Correct:

Three correct selections and no incorrect selections

Partial 1:

Three correct selections and one incorrect selection

Partial 2:

Two correct selections and no incorrect selections",No student responses are available for this question.,"Incorrect:

Incorrect response",8,2022,8M1,SR (Selected Response),Hard,"Correct: 7%
Incorrect: 78%
Partial A: 2%
Partial B: 13%
Omitted: rounds to zero
Off task: rounds to zero",
,,,,,,,,,,,,,
,Determine the length of a diagonal of a rectangle,,,"Correct:

Answer of 30

Partial:

Answer of 900",,"Incorrect:

Incorrect response

216

42

These incorrect responses each show an answer other than 30 or 900.",8,2022,8M1,SCR (Short Constructed Response),Hard,"Correct: 14%
Incorrect: 83%
Partial: 1%
Omitted: 2%
Off task: rounds to zero",
,,,,,,,,,,,,,
